kernel_id,task,context_regime,scenario,probability,latency_ms_per_instance,bound_type,expected_latency_ms_per_instance,expected_total_latency_ms_all_instances
A.local_attn_layer.ffn_gate_up,A,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,265.81,compute,265.81,10367
A.local_attn_layer.ffn_gate_up,A,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,265.81,compute,265.81,10367
A.local_attn_layer.swiglu_act,A,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,7.488,bandwidth,11.082,432.21
A.local_attn_layer.swiglu_act,A,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,19.469,bandwidth,11.082,432.21
A.local_attn_layer.ffn_down,A,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,132.91,compute,132.91,5183.4
A.local_attn_layer.ffn_down,A,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,132.91,compute,132.91,5183.4
A.global_attn_layer.rmsnorm_attn,A,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,1.664,bandwidth,2.4627,32.016
A.global_attn_layer.rmsnorm_attn,A,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,4.3264,bandwidth,2.4627,32.016
A.global_attn_layer.qkv_proj,A,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,30.671,compute,30.671,398.72
A.global_attn_layer.qkv_proj,A,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,30.671,compute,30.671,398.72
A.global_attn_layer.attention,A,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,3200,bandwidth,4736,61568
A.global_attn_layer.attention,A,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,8320,bandwidth,4736,61568
A.global_attn_layer.out_proj,A,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,27.263,compute,27.263,354.42
A.global_attn_layer.out_proj,A,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,27.263,compute,27.263,354.42
A.global_attn_layer.rmsnorm_ffn,A,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,1.664,bandwidth,2.4627,32.016
A.global_attn_layer.rmsnorm_ffn,A,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,4.3264,bandwidth,2.4627,32.016
A.global_attn_layer.ffn_gate_up,A,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,265.81,compute,265.81,3455.6
A.global_attn_layer.ffn_gate_up,A,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,265.81,compute,265.81,3455.6
A.global_attn_layer.swiglu_act,A,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,7.488,bandwidth,11.082,144.07
A.global_attn_layer.swiglu_act,A,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,19.469,bandwidth,11.082,144.07
A.global_attn_layer.ffn_down,A,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,132.91,compute,132.91,1727.8
A.global_attn_layer.ffn_down,A,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,132.91,compute,132.91,1727.8
A.final_norm,A,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,1.664,bandwidth,2.4627,2.4627
A.final_norm,A,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,4.3264,bandwidth,2.4627,2.4627
B.draft_layer.qkv_proj,B,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,0.051134,bandwidth,0.075678,6.0543
B.draft_layer.qkv_proj,B,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.13295,bandwidth,0.075678,6.0543
B.draft_layer.attention,B,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,0.00065536,bandwidth,0.00096993,0.077595
B.draft_layer.attention,B,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.0017039,bandwidth,0.00096993,0.077595
B.draft_layer.out_proj,B,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,0.034092,bandwidth,0.050456,4.0365
B.draft_layer.out_proj,B,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.08864,bandwidth,0.050456,4.0365
B.draft_layer.ffn,B,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,0,bandwidth (compute FLOPs unresolved),0,0
B.draft_layer.ffn,B,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0,bandwidth (compute FLOPs unresolved),0,0
B.embed_lookup,B,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,1.664e-05,bandwidth,2.4627e-05,0.00039404
B.embed_lookup,B,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,4.3264e-05,bandwidth,2.4627e-05,0.00039404
B.lm_head,B,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,1.0673,bandwidth,1.5795,25.273
B.lm_head,B,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,2.7749,bandwidth,1.5795,25.273
C.local_attn_layer.rmsnorm_attn,C,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,0.00027456,bandwidth,0.00040635,0.015848
C.local_attn_layer.rmsnorm_attn,C,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.00071386,bandwidth,0.00040635,0.015848
C.local_attn_layer.qkv_proj,C,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,0.038564,bandwidth,0.057074,2.2259
C.local_attn_layer.qkv_proj,C,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.10027,bandwidth,0.057074,2.2259
C.local_attn_layer.attention,C,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,0.0026844,compute,0.0026844,0.10469
C.local_attn_layer.attention,C,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.0026844,compute,0.0026844,0.10469
C.local_attn_layer.out_proj,C,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,0.034294,bandwidth,0.050755,1.9794
C.local_attn_layer.out_proj,C,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.089164,bandwidth,0.050755,1.9794
C.local_attn_layer.rmsnorm_ffn,C,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,0.00027456,bandwidth,0.00040635,0.015848
C.local_attn_layer.rmsnorm_ffn,C,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.00071386,bandwidth,0.00040635,0.015848
C.local_attn_layer.ffn_gate_up,C,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,0.3332,bandwidth,0.49314,19.232
C.local_attn_layer.ffn_gate_up,C,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.86632,bandwidth,0.49314,19.232
C.local_attn_layer.swiglu_act,C,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,0.0011981,bandwidth,0.0017732,0.069153
C.local_attn_layer.swiglu_act,C,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.003115,bandwidth,0.0017732,0.069153
C.local_attn_layer.ffn_down,C,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,0.16667,bandwidth,0.24667,9.62
C.local_attn_layer.ffn_down,C,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.43333,bandwidth,0.24667,9.62
C.global_attn_layer.rmsnorm_attn,C,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,0.00027456,bandwidth,0.00040635,0.0052825
C.global_attn_layer.rmsnorm_attn,C,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.00071386,bandwidth,0.00040635,0.0052825
C.global_attn_layer.qkv_proj,C,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,0.038564,bandwidth,0.057074,0.74197
C.global_attn_layer.qkv_proj,C,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.10027,bandwidth,0.057074,0.74197
C.global_attn_layer.attention,C,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,0.13107,compute,0.13107,1.7039
C.global_attn_layer.attention,C,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.13107,compute,0.13107,1.7039
C.global_attn_layer.out_proj,C,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,0.034294,bandwidth,0.050755,0.65981
C.global_attn_layer.out_proj,C,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.089164,bandwidth,0.050755,0.65981
C.global_attn_layer.rmsnorm_ffn,C,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,0.00027456,bandwidth,0.00040635,0.0052825
C.global_attn_layer.rmsnorm_ffn,C,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.00071386,bandwidth,0.00040635,0.0052825
C.global_attn_layer.ffn_gate_up,C,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,0.3332,bandwidth,0.49314,6.4108
C.global_attn_layer.ffn_gate_up,C,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.86632,bandwidth,0.49314,6.4108
C.global_attn_layer.swiglu_act,C,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,0.0011981,bandwidth,0.0017732,0.023051
C.global_attn_layer.swiglu_act,C,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.003115,bandwidth,0.0017732,0.023051
C.global_attn_layer.ffn_down,C,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,0.16667,bandwidth,0.24667,3.2067
C.global_attn_layer.ffn_down,C,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.43333,bandwidth,0.24667,3.2067
C.embed_lookup,C,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,0.00026624,bandwidth,0.00039404,0.00039404
C.embed_lookup,C,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.00069222,bandwidth,0.00039404,0.00039404
C.lm_head,C,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,1.0698,bandwidth,1.5833,1.5833
C.lm_head,C,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,2.7814,bandwidth,1.5833,1.5833
D.reject_sample_compare,D,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,0.01026,bandwidth,0.015186,0.015186
D.reject_sample_compare,D,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.026677,bandwidth,0.015186,0.015186
