kernel_id,task,context_regime,scenario,probability,latency_ms_per_instance,bound_type,expected_latency_ms_per_instance,expected_total_latency_ms_all_instances
B.draft_layer.qkv_proj,B,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.13295,bandwidth,0.075678,6.0543
B.draft_layer.attention,B,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.00048,bandwidth,0.0007104,0.056832
B.draft_layer.attention,B,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.001248,bandwidth,0.0007104,0.056832
B.draft_layer.out_proj,B,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.034092,bandwidth,0.050456,4.0365
B.draft_layer.out_proj,B,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.08864,bandwidth,0.050456,4.0365
B.draft_layer.ffn,B,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0,bandwidth (compute FLOPs unresolved),0,0
B.draft_layer.ffn,B,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0,bandwidth (compute FLOPs unresolved),0,0
B.embed_lookup,B,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,1.664e-05,bandwidth,2.4627e-05,0.00039404
B.embed_lookup,B,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,4.3264e-05,bandwidth,2.4627e-05,0.00039404
B.lm_head,B,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,1.0673,bandwidth,1.5795,25.273
B.lm_head,B,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,2.7749,bandwidth,1.5795,25.273
C.local_attn_layer.rmsnorm_attn,C,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.00027456,bandwidth,0.00040635,0.015848
C.local_attn_layer.rmsnorm_attn,C,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.00071386,bandwidth,0.00040635,0.015848
C.local_attn_layer.qkv_proj,C,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.038564,bandwidth,0.057074,2.2259
C.local_attn_layer.qkv_proj,C,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.10027,bandwidth,0.057074,2.2259
C.local_attn_layer.attention,C,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.0019661,compute,0.0019661,0.076677
C.local_attn_layer.attention,C,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.0019661,compute,0.0019661,0.076677
C.local_attn_layer.out_proj,C,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.034294,bandwidth,0.050755,1.9794
C.local_attn_layer.out_proj,C,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.089164,bandwidth,0.050755,1.9794
C.local_attn_layer.rmsnorm_ffn,C,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.00027456,bandwidth,0.00040635,0.015848
C.local_attn_layer.rmsnorm_ffn,C,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.00071386,bandwidth,0.00040635,0.015848
C.local_attn_layer.ffn_gate_up,C,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.3332,bandwidth,0.49314,19.232
C.local_attn_layer.ffn_gate_up,C,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.86632,bandwidth,0.49314,19.232
C.local_attn_layer.swiglu_act,C,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.0011981,bandwidth,0.0017732,0.069153
C.local_attn_layer.swiglu_act,C,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.003115,bandwidth,0.0017732,0.069153
C.local_attn_layer.ffn_down,C,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.16667,bandwidth,0.24667,9.62
C.local_attn_layer.ffn_down,C,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.43333,bandwidth,0.24667,9.62
C.global_attn_layer.rmsnorm_attn,C,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.00027456,bandwidth,0.00040635,0.0052825
C.global_attn_layer.rmsnorm_attn,C,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.00071386,bandwidth,0.00040635,0.0052825
C.global_attn_layer.qkv_proj,C,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.038564,bandwidth,0.057074,0.74197
C.global_attn_layer.qkv_proj,C,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.10027,bandwidth,0.057074,0.74197
C.global_attn_layer.attention,C,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.0019661,compute,0.0019661,0.025559
C.global_attn_layer.attention,C,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.0019661,compute,0.0019661,0.025559
C.global_attn_layer.out_proj,C,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.034294,bandwidth,0.050755,0.65981
C.global_attn_layer.out_proj,C,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.089164,bandwidth,0.050755,0.65981
C.global_attn_layer.rmsnorm_ffn,C,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.00027456,bandwidth,0.00040635,0.0052825
C.global_attn_layer.rmsnorm_ffn,C,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.00071386,bandwidth,0.00040635,0.0052825
C.global_attn_layer.ffn_gate_up,C,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.3332,bandwidth,0.49314,6.4108
C.global_attn_layer.ffn_gate_up,C,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.86632,bandwidth,0.49314,6.4108
C.global_attn_layer.swiglu_act,C,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.0011981,bandwidth,0.0017732,0.023051
C.global_attn_layer.swiglu_act,C,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.003115,bandwidth,0.0017732,0.023051
C.global_attn_layer.ffn_down,C,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.16667,bandwidth,0.24667,3.2067
C.global_attn_layer.ffn_down,C,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.43333,bandwidth,0.24667,3.2067
C.embed_lookup,C,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.00026624,bandwidth,0.00039404,0.00039404
C.embed_lookup,C,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.00069222,bandwidth,0.00039404,0.00039404
C.lm_head,C,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,1.0698,bandwidth,1.5833,1.5833
C.lm_head,C,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,2.7814,bandwidth,1.5833,1.5833
D.reject_sample_compare,D,short_chat_L1500,uncontended: exclusive HBM channel / NoC link access,0.70,0.01026,bandwidth,0.015186,0.015186
D.reject_sample_compare,D,short_chat_L1500,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.026677,bandwidth,0.015186,0.015186
A.embed_lookup,A,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,0.54526,bandwidth,0.80698,0.80698
A.embed_lookup,A,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,1.4177,bandwidth,0.80698,0.80698
A.local_attn_layer.rmsnorm_attn,A,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,0.54527,bandwidth,0.807,31.473
A.local_attn_layer.rmsnorm_attn,A,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,1.4177,bandwidth,0.807,31.473
A.local_attn_layer.qkv_proj,A,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,10.05,compute,10.05,391.96
A.local_attn_layer.qkv_proj,A,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,10.05,compute,10.05,391.96
A.local_attn_layer.attention,A,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,21.475,bandwidth,31.783,1239.5
