event_id,request_id,iteration,src_task,dst_task,payload_bytes,L_context,k_accepted,cum_output_tokens,src_task_compute_flops,note
0,0,0,EXT,PREFILL,1048576,262144,,0,0,external arrival: prompt token IDs
1,0,0,PREFILL,COMMIT,813694976,262144,,0,1.54221e+16,"one-time prefill KV publish (compressed CSA/HCA, grows linearly with L)"
2,0,0,PREFILL,MTP_DRAFT,8192,262144,,0,1.54221e+16,prefill->draft handoff: last-token hidden state
3,0,1,MTP_DRAFT,VERIFY,64,262144,,0,9.5771e+09,proposed 7-token block via MTP head
4,0,1,VERIFY,COMMIT,29920,262144,7,0,4.11815e+11,verify result: accepted-token KV + context carry
5,0,1,COMMIT,MTP_DRAFT,64,262151,7,7,0,loop continue
6,0,2,MTP_DRAFT,VERIFY,64,262151,,7,9.57722e+09,proposed 7-token block via MTP head
7,0,2,VERIFY,COMMIT,26816,262151,6,7,4.1182e+11,verify result: accepted-token KV + context carry
8,0,2,COMMIT,MTP_DRAFT,64,262157,6,13,0,loop continue
9,0,3,MTP_DRAFT,VERIFY,64,262157,,13,9.57732e+09,proposed 7-token block via MTP head
10,0,3,VERIFY,COMMIT,17504,262157,3,13,4.11825e+11,verify result: accepted-token KV + context carry
11,0,3,COMMIT,MTP_DRAFT,64,262160,3,16,0,loop continue
12,0,4,MTP_DRAFT,VERIFY,64,262160,,16,9.57738e+09,proposed 7-token block via MTP head
13,0,4,VERIFY,COMMIT,14400,262160,2,16,4.11827e+11,verify result: accepted-token KV + context carry
14,0,4,COMMIT,MTP_DRAFT,64,262162,2,18,0,loop continue
15,0,5,MTP_DRAFT,VERIFY,64,262162,,18,9.57741e+09,proposed 7-token block via MTP head
16,0,5,VERIFY,COMMIT,11296,262162,1,18,4.11828e+11,verify result: accepted-token KV + context carry
17,0,5,COMMIT,MTP_DRAFT,64,262163,1,19,0,loop continue
18,0,6,MTP_DRAFT,VERIFY,64,262163,,19,9.57743e+09,proposed 7-token block via MTP head
19,0,6,VERIFY,COMMIT,20608,262163,4,19,4.11829e+11,verify result: accepted-token KV + context carry
20,0,6,COMMIT,MTP_DRAFT,64,262167,4,23,0,loop continue
21,0,7,MTP_DRAFT,VERIFY,64,262167,,23,9.5775e+09,proposed 7-token block via MTP head
22,0,7,VERIFY,COMMIT,29920,262167,7,23,4.11832e+11,verify result: accepted-token KV + context carry
23,0,7,COMMIT,MTP_DRAFT,64,262174,7,30,0,loop continue
24,0,8,MTP_DRAFT,VERIFY,64,262174,,30,9.57762e+09,proposed 7-token block via MTP head
25,0,8,VERIFY,COMMIT,29920,262174,7,30,4.11837e+11,verify result: accepted-token KV + context carry
26,0,8,COMMIT,MTP_DRAFT,64,262181,7,37,0,loop continue
27,0,9,MTP_DRAFT,VERIFY,64,262181,,37,9.57774e+09,proposed 7-token block via MTP head
28,0,9,VERIFY,COMMIT,8192,262181,0,37,4.11842e+11,verify result: accepted-token KV + context carry
29,0,9,COMMIT,MTP_DRAFT,64,262181,0,37,0,loop continue
30,0,10,MTP_DRAFT,VERIFY,64,262181,,37,9.57774e+09,proposed 7-token block via MTP head
31,0,10,VERIFY,COMMIT,20608,262181,4,37,4.11842e+11,verify result: accepted-token KV + context carry
32,0,10,COMMIT,MTP_DRAFT,64,262185,4,41,0,loop continue
33,0,11,MTP_DRAFT,VERIFY,64,262185,,41,9.57781e+09,proposed 7-token block via MTP head
34,0,11,VERIFY,COMMIT,14400,262185,2,41,4.11845e+11,verify result: accepted-token KV + context carry
35,0,11,COMMIT,MTP_DRAFT,64,262187,2,43,0,loop continue
36,0,12,MTP_DRAFT,VERIFY,64,262187,,43,9.57784e+09,proposed 7-token block via MTP head
37,0,12,VERIFY,COMMIT,14400,262187,2,43,4.11847e+11,verify result: accepted-token KV + context carry
38,0,12,COMMIT,MTP_DRAFT,64,262189,2,45,0,loop continue
39,0,13,MTP_DRAFT,VERIFY,64,262189,,45,9.57788e+09,proposed 7-token block via MTP head
40,0,13,VERIFY,COMMIT,20608,262189,4,45,4.11848e+11,verify result: accepted-token KV + context carry
41,0,13,COMMIT,MTP_DRAFT,64,262193,4,49,0,loop continue
42,0,14,MTP_DRAFT,VERIFY,64,262193,,49,9.57795e+09,proposed 7-token block via MTP head
43,0,14,VERIFY,COMMIT,11296,262193,1,49,4.11851e+11,verify result: accepted-token KV + context carry
44,0,14,COMMIT,MTP_DRAFT,64,262194,1,50,0,loop continue
45,0,15,MTP_DRAFT,VERIFY,64,262194,,50,9.57797e+09,proposed 7-token block via MTP head
46,0,15,VERIFY,COMMIT,23712,262194,5,50,4.11852e+11,verify result: accepted-token KV + context carry
47,0,15,COMMIT,MTP_DRAFT,64,262199,5,55,0,loop continue
48,0,16,MTP_DRAFT,VERIFY,64,262199,,55,9.57805e+09,proposed 7-token block via MTP head
49,0,16,VERIFY,COMMIT,8192,262199,0,55,4.11856e+11,verify result: accepted-token KV + context carry
50,0,16,COMMIT,MTP_DRAFT,64,262199,0,55,0,loop continue
