event_id,request_id,iteration,src_task,dst_task,payload_bytes,L_context,k_accepted,cum_output_tokens,src_task_compute_flops,note
0,0,0,EXT,PREFILL,4194304,1048576,,0,0,external arrival: prompt token IDs
1,0,0,PREFILL,COMMIT,3254779904,1048576,,0,1.49513e+17,"one-time prefill KV publish (compressed CSA/HCA, grows linearly with L)"
2,0,0,PREFILL,MTP_DRAFT,8192,1048576,,0,1.49513e+17,prefill->draft handoff: last-token hidden state
3,0,1,MTP_DRAFT,VERIFY,64,1048576,,0,2.32118e+10,proposed 7-token block via MTP head
4,0,1,VERIFY,COMMIT,29920,1048576,7,0,9.98107e+11,verify result: accepted-token KV + context carry
5,0,1,COMMIT,MTP_DRAFT,64,1048583,7,7,0,loop continue
6,0,2,MTP_DRAFT,VERIFY,64,1048583,,7,2.32119e+10,proposed 7-token block via MTP head
7,0,2,VERIFY,COMMIT,26816,1048583,6,7,9.98112e+11,verify result: accepted-token KV + context carry
8,0,2,COMMIT,MTP_DRAFT,64,1048589,6,13,0,loop continue
9,0,3,MTP_DRAFT,VERIFY,64,1048589,,13,2.3212e+10,proposed 7-token block via MTP head
10,0,3,VERIFY,COMMIT,17504,1048589,3,13,9.98117e+11,verify result: accepted-token KV + context carry
11,0,3,COMMIT,MTP_DRAFT,64,1048592,3,16,0,loop continue
12,0,4,MTP_DRAFT,VERIFY,64,1048592,,16,2.32121e+10,proposed 7-token block via MTP head
13,0,4,VERIFY,COMMIT,14400,1048592,2,16,9.98119e+11,verify result: accepted-token KV + context carry
14,0,4,COMMIT,MTP_DRAFT,64,1048594,2,18,0,loop continue
15,0,5,MTP_DRAFT,VERIFY,64,1048594,,18,2.32121e+10,proposed 7-token block via MTP head
16,0,5,VERIFY,COMMIT,11296,1048594,1,18,9.9812e+11,verify result: accepted-token KV + context carry
17,0,5,COMMIT,MTP_DRAFT,64,1048595,1,19,0,loop continue
18,0,6,MTP_DRAFT,VERIFY,64,1048595,,19,2.32121e+10,proposed 7-token block via MTP head
19,0,6,VERIFY,COMMIT,20608,1048595,4,19,9.98121e+11,verify result: accepted-token KV + context carry
20,0,6,COMMIT,MTP_DRAFT,64,1048599,4,23,0,loop continue
21,0,7,MTP_DRAFT,VERIFY,64,1048599,,23,2.32122e+10,proposed 7-token block via MTP head
22,0,7,VERIFY,COMMIT,29920,1048599,7,23,9.98124e+11,verify result: accepted-token KV + context carry
23,0,7,COMMIT,MTP_DRAFT,64,1048606,7,30,0,loop continue
24,0,8,MTP_DRAFT,VERIFY,64,1048606,,30,2.32123e+10,proposed 7-token block via MTP head
25,0,8,VERIFY,COMMIT,29920,1048606,7,30,9.98129e+11,verify result: accepted-token KV + context carry
26,0,8,COMMIT,MTP_DRAFT,64,1048613,7,37,0,loop continue
27,0,9,MTP_DRAFT,VERIFY,64,1048613,,37,2.32124e+10,proposed 7-token block via MTP head
28,0,9,VERIFY,COMMIT,8192,1048613,0,37,9.98134e+11,verify result: accepted-token KV + context carry
29,0,9,COMMIT,MTP_DRAFT,64,1048613,0,37,0,loop continue
30,0,10,MTP_DRAFT,VERIFY,64,1048613,,37,2.32124e+10,proposed 7-token block via MTP head
31,0,10,VERIFY,COMMIT,20608,1048613,4,37,9.98134e+11,verify result: accepted-token KV + context carry
32,0,10,COMMIT,MTP_DRAFT,64,1048617,4,41,0,loop continue
33,0,11,MTP_DRAFT,VERIFY,64,1048617,,41,2.32125e+10,proposed 7-token block via MTP head
34,0,11,VERIFY,COMMIT,14400,1048617,2,41,9.98137e+11,verify result: accepted-token KV + context carry
35,0,11,COMMIT,MTP_DRAFT,64,1048619,2,43,0,loop continue
36,0,12,MTP_DRAFT,VERIFY,64,1048619,,43,2.32125e+10,proposed 7-token block via MTP head
37,0,12,VERIFY,COMMIT,14400,1048619,2,43,9.98139e+11,verify result: accepted-token KV + context carry
38,0,12,COMMIT,MTP_DRAFT,64,1048621,2,45,0,loop continue
39,0,13,MTP_DRAFT,VERIFY,64,1048621,,45,2.32126e+10,proposed 7-token block via MTP head
40,0,13,VERIFY,COMMIT,20608,1048621,4,45,9.9814e+11,verify result: accepted-token KV + context carry
41,0,13,COMMIT,MTP_DRAFT,64,1048625,4,49,0,loop continue
42,0,14,MTP_DRAFT,VERIFY,64,1048625,,49,2.32126e+10,proposed 7-token block via MTP head
43,0,14,VERIFY,COMMIT,11296,1048625,1,49,9.98143e+11,verify result: accepted-token KV + context carry
44,0,14,COMMIT,MTP_DRAFT,64,1048626,1,50,0,loop continue
45,0,15,MTP_DRAFT,VERIFY,64,1048626,,50,2.32127e+10,proposed 7-token block via MTP head
46,0,15,VERIFY,COMMIT,23712,1048626,5,50,9.98144e+11,verify result: accepted-token KV + context carry
47,0,15,COMMIT,MTP_DRAFT,64,1048631,5,55,0,loop continue
48,0,16,MTP_DRAFT,VERIFY,64,1048631,,55,2.32127e+10,proposed 7-token block via MTP head
49,0,16,VERIFY,COMMIT,8192,1048631,0,55,9.98148e+11,verify result: accepted-token KV + context carry
50,0,16,COMMIT,MTP_DRAFT,64,1048631,0,55,0,loop continue
51,0,17,MTP_DRAFT,VERIFY,64,1048631,,55,2.32127e+10,proposed 7-token block via MTP head
52,0,17,VERIFY,COMMIT,23712,1048631,5,55,9.98148e+11,verify result: accepted-token KV + context carry
53,0,17,COMMIT,MTP_DRAFT,64,1048636,5,60,0,loop continue
54,0,18,MTP_DRAFT,VERIFY,64,1048636,,60,2.32128e+10,proposed 7-token block via MTP head
55,0,18,VERIFY,COMMIT,8192,1048636,0,60,9.98152e+11,verify result: accepted-token KV + context carry
56,0,18,COMMIT,MTP_DRAFT,64,1048636,0,60,0,loop continue
57,0,19,MTP_DRAFT,VERIFY,64,1048636,,60,2.32128e+10,proposed 7-token block via MTP head
58,0,19,VERIFY,COMMIT,29920,1048636,7,60,9.98152e+11,verify result: accepted-token KV + context carry
59,0,19,COMMIT,MTP_DRAFT,64,1048643,7,67,0,loop continue
60,0,20,MTP_DRAFT,VERIFY,64,1048643,,67,2.3213e+10,proposed 7-token block via MTP head
61,0,20,VERIFY,COMMIT,11296,1048643,1,67,9.98157e+11,verify result: accepted-token KV + context carry
62,0,20,COMMIT,MTP_DRAFT,64,1048644,1,68,0,loop continue
63,0,21,MTP_DRAFT,VERIFY,64,1048644,,68,2.3213e+10,proposed 7-token block via MTP head
64,0,21,VERIFY,COMMIT,17504,1048644,3,68,9.98158e+11,verify result: accepted-token KV + context carry
65,0,21,COMMIT,MTP_DRAFT,64,1048647,3,71,0,loop continue
66,0,22,MTP_DRAFT,VERIFY,64,1048647,,71,2.3213e+10,proposed 7-token block via MTP head
67,0,22,VERIFY,COMMIT,17504,1048647,3,71,9.9816e+11,verify result: accepted-token KV + context carry
68,0,22,COMMIT,MTP_DRAFT,64,1048650,3,74,0,loop continue
69,0,23,MTP_DRAFT,VERIFY,64,1048650,,74,2.32131e+10,proposed 7-token block via MTP head
70,0,23,VERIFY,COMMIT,8192,1048650,0,74,9.98162e+11,verify result: accepted-token KV + context carry
71,0,23,COMMIT,MTP_DRAFT,64,1048650,0,74,0,loop continue
72,0,24,MTP_DRAFT,VERIFY,64,1048650,,74,2.32131e+10,proposed 7-token block via MTP head
73,0,24,VERIFY,COMMIT,8192,1048650,0,74,9.98162e+11,verify result: accepted-token KV + context carry
74,0,24,COMMIT,MTP_DRAFT,64,1048650,0,74,0,loop continue
75,0,25,MTP_DRAFT,VERIFY,64,1048650,,74,2.32131e+10,proposed 7-token block via MTP head
76,0,25,VERIFY,COMMIT,17504,1048650,3,74,9.98162e+11,verify result: accepted-token KV + context carry
77,0,25,COMMIT,MTP_DRAFT,64,1048653,3,77,0,loop continue
78,0,26,MTP_DRAFT,VERIFY,64,1048653,,77,2.32131e+10,proposed 7-token block via MTP head
79,0,26,VERIFY,COMMIT,8192,1048653,0,77,9.98164e+11,verify result: accepted-token KV + context carry
80,0,26,COMMIT,MTP_DRAFT,64,1048653,0,77,0,loop continue
81,0,27,MTP_DRAFT,VERIFY,64,1048653,,77,2.32131e+10,proposed 7-token block via MTP head
82,0,27,VERIFY,COMMIT,29920,1048653,7,77,9.98164e+11,verify result: accepted-token KV + context carry
83,0,27,COMMIT,MTP_DRAFT,64,1048660,7,84,0,loop continue
84,0,28,MTP_DRAFT,VERIFY,64,1048660,,84,2.32133e+10,proposed 7-token block via MTP head
85,0,28,VERIFY,COMMIT,20608,1048660,4,84,9.98169e+11,verify result: accepted-token KV + context carry
86,0,28,COMMIT,MTP_DRAFT,64,1048664,4,88,0,loop continue
87,0,29,MTP_DRAFT,VERIFY,64,1048664,,88,2.32133e+10,proposed 7-token block via MTP head
88,0,29,VERIFY,COMMIT,23712,1048664,5,88,9.98172e+11,verify result: accepted-token KV + context carry
89,0,29,COMMIT,MTP_DRAFT,64,1048669,5,93,0,loop continue
90,0,30,MTP_DRAFT,VERIFY,64,1048669,,93,2.32134e+10,proposed 7-token block via MTP head
91,0,30,VERIFY,COMMIT,8192,1048669,0,93,9.98176e+11,verify result: accepted-token KV + context carry
92,0,30,COMMIT,MTP_DRAFT,64,1048669,0,93,0,loop continue
93,0,31,MTP_DRAFT,VERIFY,64,1048669,,93,2.32134e+10,proposed 7-token block via MTP head
94,0,31,VERIFY,COMMIT,8192,1048669,0,93,9.98176e+11,verify result: accepted-token KV + context carry
95,0,31,COMMIT,MTP_DRAFT,64,1048669,0,93,0,loop continue
96,0,32,MTP_DRAFT,VERIFY,64,1048669,,93,2.32134e+10,proposed 7-token block via MTP head
97,0,32,VERIFY,COMMIT,8192,1048669,0,93,9.98176e+11,verify result: accepted-token KV + context carry
98,0,32,COMMIT,MTP_DRAFT,64,1048669,0,93,0,loop continue
99,0,33,MTP_DRAFT,VERIFY,64,1048669,,93,2.32134e+10,proposed 7-token block via MTP head
100,0,33,VERIFY,COMMIT,29920,1048669,7,93,9.98176e+11,verify result: accepted-token KV + context carry
101,0,33,COMMIT,EXIT,0,1048676,7,100,0,terminal condition (EOS / max length)
