event_id,request_id,iteration,src_task,dst_task,payload_bytes,L_context,k_accepted,cum_output_tokens,src_task_compute_flops,note
0,0,0,EXT,PREFILL,2097152,524288,,0,0,external arrival: prompt token IDs
1,0,0,PREFILL,COMMIT,1627389952,524288,,0,4.54816e+16,"one-time prefill KV publish (compressed CSA/HCA, grows linearly with L)"
2,0,0,PREFILL,MTP_DRAFT,8192,524288,,0,4.54816e+16,prefill->draft handoff: last-token hidden state
3,0,1,MTP_DRAFT,VERIFY,64,524288,,0,1.4122e+10,proposed 7-token block via MTP head
4,0,1,VERIFY,COMMIT,14400,524288,2,0,6.07246e+11,verify result: accepted-token KV + context carry
5,0,1,COMMIT,MTP_DRAFT,64,524290,2,2,0,loop continue
6,0,2,MTP_DRAFT,VERIFY,64,524290,,2,1.4122e+10,proposed 7-token block via MTP head
7,0,2,VERIFY,COMMIT,29920,524290,7,2,6.07247e+11,verify result: accepted-token KV + context carry
8,0,2,COMMIT,MTP_DRAFT,64,524297,7,9,0,loop continue
9,0,3,MTP_DRAFT,VERIFY,64,524297,,9,1.41222e+10,proposed 7-token block via MTP head
10,0,3,VERIFY,COMMIT,17504,524297,3,9,6.07252e+11,verify result: accepted-token KV + context carry
11,0,3,COMMIT,MTP_DRAFT,64,524300,3,12,0,loop continue
12,0,4,MTP_DRAFT,VERIFY,64,524300,,12,1.41222e+10,proposed 7-token block via MTP head
13,0,4,VERIFY,COMMIT,17504,524300,3,12,6.07255e+11,verify result: accepted-token KV + context carry
14,0,4,COMMIT,MTP_DRAFT,64,524303,3,15,0,loop continue
15,0,5,MTP_DRAFT,VERIFY,64,524303,,15,1.41223e+10,proposed 7-token block via MTP head
16,0,5,VERIFY,COMMIT,14400,524303,2,15,6.07257e+11,verify result: accepted-token KV + context carry
17,0,5,COMMIT,MTP_DRAFT,64,524305,2,17,0,loop continue
18,0,6,MTP_DRAFT,VERIFY,64,524305,,17,1.41223e+10,proposed 7-token block via MTP head
19,0,6,VERIFY,COMMIT,11296,524305,1,17,6.07258e+11,verify result: accepted-token KV + context carry
20,0,6,COMMIT,MTP_DRAFT,64,524306,1,18,0,loop continue
21,0,7,MTP_DRAFT,VERIFY,64,524306,,18,1.41223e+10,proposed 7-token block via MTP head
22,0,7,VERIFY,COMMIT,20608,524306,4,18,6.07259e+11,verify result: accepted-token KV + context carry
23,0,7,COMMIT,MTP_DRAFT,64,524310,4,22,0,loop continue
24,0,8,MTP_DRAFT,VERIFY,64,524310,,22,1.41224e+10,proposed 7-token block via MTP head
25,0,8,VERIFY,COMMIT,29920,524310,7,22,6.07262e+11,verify result: accepted-token KV + context carry
26,0,8,COMMIT,MTP_DRAFT,64,524317,7,29,0,loop continue
27,0,9,MTP_DRAFT,VERIFY,64,524317,,29,1.41225e+10,proposed 7-token block via MTP head
28,0,9,VERIFY,COMMIT,11296,524317,1,29,6.07267e+11,verify result: accepted-token KV + context carry
29,0,9,COMMIT,MTP_DRAFT,64,524318,1,30,0,loop continue
30,0,10,MTP_DRAFT,VERIFY,64,524318,,30,1.41225e+10,proposed 7-token block via MTP head
31,0,10,VERIFY,COMMIT,23712,524318,5,30,6.07268e+11,verify result: accepted-token KV + context carry
32,0,10,COMMIT,MTP_DRAFT,64,524323,5,35,0,loop continue
33,0,11,MTP_DRAFT,VERIFY,64,524323,,35,1.41226e+10,proposed 7-token block via MTP head
34,0,11,VERIFY,COMMIT,8192,524323,0,35,6.07272e+11,verify result: accepted-token KV + context carry
35,0,11,COMMIT,MTP_DRAFT,64,524323,0,35,0,loop continue
36,0,12,MTP_DRAFT,VERIFY,64,524323,,35,1.41226e+10,proposed 7-token block via MTP head
37,0,12,VERIFY,COMMIT,17504,524323,3,35,6.07272e+11,verify result: accepted-token KV + context carry
38,0,12,COMMIT,MTP_DRAFT,64,524326,3,38,0,loop continue
39,0,13,MTP_DRAFT,VERIFY,64,524326,,38,1.41227e+10,proposed 7-token block via MTP head
40,0,13,VERIFY,COMMIT,8192,524326,0,38,6.07274e+11,verify result: accepted-token KV + context carry
41,0,13,COMMIT,MTP_DRAFT,64,524326,0,38,0,loop continue
42,0,14,MTP_DRAFT,VERIFY,64,524326,,38,1.41227e+10,proposed 7-token block via MTP head
43,0,14,VERIFY,COMMIT,11296,524326,1,38,6.07274e+11,verify result: accepted-token KV + context carry
44,0,14,COMMIT,MTP_DRAFT,64,524327,1,39,0,loop continue
45,0,15,MTP_DRAFT,VERIFY,64,524327,,39,1.41227e+10,proposed 7-token block via MTP head
46,0,15,VERIFY,COMMIT,14400,524327,2,39,6.07275e+11,verify result: accepted-token KV + context carry
47,0,15,COMMIT,MTP_DRAFT,64,524329,2,41,0,loop continue
48,0,16,MTP_DRAFT,VERIFY,64,524329,,41,1.41227e+10,proposed 7-token block via MTP head
49,0,16,VERIFY,COMMIT,17504,524329,3,41,6.07276e+11,verify result: accepted-token KV + context carry
50,0,16,COMMIT,MTP_DRAFT,64,524332,3,44,0,loop continue
51,0,17,MTP_DRAFT,VERIFY,64,524332,,44,1.41228e+10,proposed 7-token block via MTP head
52,0,17,VERIFY,COMMIT,8192,524332,0,44,6.07278e+11,verify result: accepted-token KV + context carry
53,0,17,COMMIT,MTP_DRAFT,64,524332,0,44,0,loop continue
54,0,18,MTP_DRAFT,VERIFY,64,524332,,44,1.41228e+10,proposed 7-token block via MTP head
