event_id,request_id,iteration,src_task,dst_task,payload_bytes,L_context,k_accepted,cum_output_tokens,src_task_compute_flops,note
0,0,0,EXT,PREFILL,2097152,524288,,0,0,external arrival: prompt token IDs
1,0,0,PREFILL,COMMIT,1627389952,524288,,0,4.54816e+16,"one-time prefill KV publish (compressed CSA/HCA, grows linearly with L)"
2,0,0,PREFILL,MTP_DRAFT,8192,524288,,0,4.54816e+16,prefill->draft handoff: last-token hidden state
3,0,1,MTP_DRAFT,VERIFY,64,524288,,0,1.4122e+10,proposed 7-token block via MTP head
4,0,1,VERIFY,COMMIT,29920,524288,7,0,6.07246e+11,verify result: accepted-token KV + context carry
5,0,1,COMMIT,MTP_DRAFT,64,524295,7,7,0,loop continue
6,0,2,MTP_DRAFT,VERIFY,64,524295,,7,1.41221e+10,proposed 7-token block via MTP head
7,0,2,VERIFY,COMMIT,26816,524295,6,7,6.07251e+11,verify result: accepted-token KV + context carry
8,0,2,COMMIT,MTP_DRAFT,64,524301,6,13,0,loop continue
9,0,3,MTP_DRAFT,VERIFY,64,524301,,13,1.41222e+10,proposed 7-token block via MTP head
10,0,3,VERIFY,COMMIT,17504,524301,3,13,6.07255e+11,verify result: accepted-token KV + context carry
11,0,3,COMMIT,MTP_DRAFT,64,524304,3,16,0,loop continue
12,0,4,MTP_DRAFT,VERIFY,64,524304,,16,1.41223e+10,proposed 7-token block via MTP head
13,0,4,VERIFY,COMMIT,14400,524304,2,16,6.07257e+11,verify result: accepted-token KV + context carry
14,0,4,COMMIT,MTP_DRAFT,64,524306,2,18,0,loop continue
15,0,5,MTP_DRAFT,VERIFY,64,524306,,18,1.41223e+10,proposed 7-token block via MTP head
16,0,5,VERIFY,COMMIT,11296,524306,1,18,6.07259e+11,verify result: accepted-token KV + context carry
17,0,5,COMMIT,MTP_DRAFT,64,524307,1,19,0,loop continue
18,0,6,MTP_DRAFT,VERIFY,64,524307,,19,1.41223e+10,proposed 7-token block via MTP head
19,0,6,VERIFY,COMMIT,20608,524307,4,19,6.0726e+11,verify result: accepted-token KV + context carry
20,0,6,COMMIT,MTP_DRAFT,64,524311,4,23,0,loop continue
21,0,7,MTP_DRAFT,VERIFY,64,524311,,23,1.41224e+10,proposed 7-token block via MTP head
22,0,7,VERIFY,COMMIT,29920,524311,7,23,6.07263e+11,verify result: accepted-token KV + context carry
23,0,7,COMMIT,MTP_DRAFT,64,524318,7,30,0,loop continue
24,0,8,MTP_DRAFT,VERIFY,64,524318,,30,1.41225e+10,proposed 7-token block via MTP head
25,0,8,VERIFY,COMMIT,29920,524318,7,30,6.07268e+11,verify result: accepted-token KV + context carry
26,0,8,COMMIT,MTP_DRAFT,64,524325,7,37,0,loop continue
27,0,9,MTP_DRAFT,VERIFY,64,524325,,37,1.41226e+10,proposed 7-token block via MTP head
28,0,9,VERIFY,COMMIT,8192,524325,0,37,6.07273e+11,verify result: accepted-token KV + context carry
29,0,9,COMMIT,MTP_DRAFT,64,524325,0,37,0,loop continue
30,0,10,MTP_DRAFT,VERIFY,64,524325,,37,1.41226e+10,proposed 7-token block via MTP head
31,0,10,VERIFY,COMMIT,20608,524325,4,37,6.07273e+11,verify result: accepted-token KV + context carry
32,0,10,COMMIT,MTP_DRAFT,64,524329,4,41,0,loop continue
33,0,11,MTP_DRAFT,VERIFY,64,524329,,41,1.41227e+10,proposed 7-token block via MTP head
34,0,11,VERIFY,COMMIT,14400,524329,2,41,6.07276e+11,verify result: accepted-token KV + context carry
35,0,11,COMMIT,MTP_DRAFT,64,524331,2,43,0,loop continue
36,0,12,MTP_DRAFT,VERIFY,64,524331,,43,1.41227e+10,proposed 7-token block via MTP head
37,0,12,VERIFY,COMMIT,14400,524331,2,43,6.07278e+11,verify result: accepted-token KV + context carry
38,0,12,COMMIT,MTP_DRAFT,64,524333,2,45,0,loop continue
39,0,13,MTP_DRAFT,VERIFY,64,524333,,45,1.41228e+10,proposed 7-token block via MTP head
40,0,13,VERIFY,COMMIT,20608,524333,4,45,6.07279e+11,verify result: accepted-token KV + context carry
41,0,13,COMMIT,MTP_DRAFT,64,524337,4,49,0,loop continue
42,0,14,MTP_DRAFT,VERIFY,64,524337,,49,1.41228e+10,proposed 7-token block via MTP head
43,0,14,VERIFY,COMMIT,11296,524337,1,49,6.07282e+11,verify result: accepted-token KV + context carry
44,0,14,COMMIT,MTP_DRAFT,64,524338,1,50,0,loop continue
45,0,15,MTP_DRAFT,VERIFY,64,524338,,50,1.41229e+10,proposed 7-token block via MTP head
46,0,15,VERIFY,COMMIT,23712,524338,5,50,6.07283e+11,verify result: accepted-token KV + context carry
47,0,15,COMMIT,MTP_DRAFT,64,524343,5,55,0,loop continue
48,0,16,MTP_DRAFT,VERIFY,64,524343,,55,1.4123e+10,proposed 7-token block via MTP head
49,0,16,VERIFY,COMMIT,8192,524343,0,55,6.07287e+11,verify result: accepted-token KV + context carry
50,0,16,COMMIT,MTP_DRAFT,64,524343,0,55,0,loop continue
51,0,17,MTP_DRAFT,VERIFY,64,524343,,55,1.4123e+10,proposed 7-token block via MTP head
52,0,17,VERIFY,COMMIT,23712,524343,5,55,6.07287e+11,verify result: accepted-token KV + context carry
53,0,17,COMMIT,MTP_DRAFT,64,524348,5,60,0,loop continue
54,0,18,MTP_DRAFT,VERIFY,64,524348,,60,1.4123e+10,proposed 7-token block via MTP head
