event_id,request_id,iteration,src_task,dst_task,payload_bytes,L_context,k_accepted,cum_output_tokens,src_task_compute_flops,note
0,0,0,EXT,PREFILL,1048576,262144,,0,0,external arrival: prompt token IDs
1,0,0,PREFILL,COMMIT,813694976,262144,,0,1.54221e+16,"one-time prefill KV publish (compressed CSA/HCA, grows linearly with L)"
2,0,0,PREFILL,MTP_DRAFT,8192,262144,,0,1.54221e+16,prefill->draft handoff: last-token hidden state
3,0,1,MTP_DRAFT,VERIFY,64,262144,,0,9.5771e+09,proposed 7-token block via MTP head
4,0,1,VERIFY,COMMIT,14400,262144,2,0,4.11815e+11,verify result: accepted-token KV + context carry
5,0,1,COMMIT,MTP_DRAFT,64,262146,2,2,0,loop continue
6,0,2,MTP_DRAFT,VERIFY,64,262146,,2,9.57713e+09,proposed 7-token block via MTP head
7,0,2,VERIFY,COMMIT,29920,262146,7,2,4.11816e+11,verify result: accepted-token KV + context carry
8,0,2,COMMIT,MTP_DRAFT,64,262153,7,9,0,loop continue
9,0,3,MTP_DRAFT,VERIFY,64,262153,,9,9.57725e+09,proposed 7-token block via MTP head
10,0,3,VERIFY,COMMIT,17504,262153,3,9,4.11822e+11,verify result: accepted-token KV + context carry
11,0,3,COMMIT,MTP_DRAFT,64,262156,3,12,0,loop continue
12,0,4,MTP_DRAFT,VERIFY,64,262156,,12,9.57731e+09,proposed 7-token block via MTP head
13,0,4,VERIFY,COMMIT,17504,262156,3,12,4.11824e+11,verify result: accepted-token KV + context carry
14,0,4,COMMIT,MTP_DRAFT,64,262159,3,15,0,loop continue
15,0,5,MTP_DRAFT,VERIFY,64,262159,,15,9.57736e+09,proposed 7-token block via MTP head
16,0,5,VERIFY,COMMIT,14400,262159,2,15,4.11826e+11,verify result: accepted-token KV + context carry
17,0,5,COMMIT,MTP_DRAFT,64,262161,2,17,0,loop continue
18,0,6,MTP_DRAFT,VERIFY,64,262161,,17,9.57739e+09,proposed 7-token block via MTP head
19,0,6,VERIFY,COMMIT,11296,262161,1,17,4.11828e+11,verify result: accepted-token KV + context carry
20,0,6,COMMIT,MTP_DRAFT,64,262162,1,18,0,loop continue
21,0,7,MTP_DRAFT,VERIFY,64,262162,,18,9.57741e+09,proposed 7-token block via MTP head
22,0,7,VERIFY,COMMIT,20608,262162,4,18,4.11828e+11,verify result: accepted-token KV + context carry
23,0,7,COMMIT,MTP_DRAFT,64,262166,4,22,0,loop continue
24,0,8,MTP_DRAFT,VERIFY,64,262166,,22,9.57748e+09,proposed 7-token block via MTP head
25,0,8,VERIFY,COMMIT,29920,262166,7,22,4.11831e+11,verify result: accepted-token KV + context carry
26,0,8,COMMIT,MTP_DRAFT,64,262173,7,29,0,loop continue
27,0,9,MTP_DRAFT,VERIFY,64,262173,,29,9.5776e+09,proposed 7-token block via MTP head
28,0,9,VERIFY,COMMIT,11296,262173,1,29,4.11837e+11,verify result: accepted-token KV + context carry
29,0,9,COMMIT,MTP_DRAFT,64,262174,1,30,0,loop continue
30,0,10,MTP_DRAFT,VERIFY,64,262174,,30,9.57762e+09,proposed 7-token block via MTP head
31,0,10,VERIFY,COMMIT,23712,262174,5,30,4.11837e+11,verify result: accepted-token KV + context carry
32,0,10,COMMIT,MTP_DRAFT,64,262179,5,35,0,loop continue
33,0,11,MTP_DRAFT,VERIFY,64,262179,,35,9.57771e+09,proposed 7-token block via MTP head
34,0,11,VERIFY,COMMIT,8192,262179,0,35,4.11841e+11,verify result: accepted-token KV + context carry
35,0,11,COMMIT,MTP_DRAFT,64,262179,0,35,0,loop continue
36,0,12,MTP_DRAFT,VERIFY,64,262179,,35,9.57771e+09,proposed 7-token block via MTP head
37,0,12,VERIFY,COMMIT,17504,262179,3,35,4.11841e+11,verify result: accepted-token KV + context carry
38,0,12,COMMIT,MTP_DRAFT,64,262182,3,38,0,loop continue
39,0,13,MTP_DRAFT,VERIFY,64,262182,,38,9.57776e+09,proposed 7-token block via MTP head
40,0,13,VERIFY,COMMIT,8192,262182,0,38,4.11843e+11,verify result: accepted-token KV + context carry
41,0,13,COMMIT,MTP_DRAFT,64,262182,0,38,0,loop continue
42,0,14,MTP_DRAFT,VERIFY,64,262182,,38,9.57776e+09,proposed 7-token block via MTP head
43,0,14,VERIFY,COMMIT,11296,262182,1,38,4.11843e+11,verify result: accepted-token KV + context carry
44,0,14,COMMIT,MTP_DRAFT,64,262183,1,39,0,loop continue
45,0,15,MTP_DRAFT,VERIFY,64,262183,,39,9.57777e+09,proposed 7-token block via MTP head
46,0,15,VERIFY,COMMIT,14400,262183,2,39,4.11844e+11,verify result: accepted-token KV + context carry
47,0,15,COMMIT,MTP_DRAFT,64,262185,2,41,0,loop continue
48,0,16,MTP_DRAFT,VERIFY,64,262185,,41,9.57781e+09,proposed 7-token block via MTP head
49,0,16,VERIFY,COMMIT,17504,262185,3,41,4.11845e+11,verify result: accepted-token KV + context carry
50,0,16,COMMIT,MTP_DRAFT,64,262188,3,44,0,loop continue
